LanguageSettings/LanguageSelection	语言选择
CustomTask/UrlIndex	正在建立网址索引...已用时
CustomTask/SecondPoint	秒。
CustomTask/NetworkAbnormalUrl	网络异常，网址
CustomTask/FailedAgain	失败，请重试。
CustomTask/CompletedUrl	已完成网址
CustomTask/CommaTime	，用时
CustomTask/NowReadyEdit	，现在可以开始编辑任务了。
CustomTask/ServerException	服务端发生了异常，网址
Setting/SaveConfiguration	保存配置
Setting/BasicConfiguration	基本配置
Setting/AcquisitionSettings	采集设置
Setting/BrowserVersion	浏览器版本
Setting/CompareEntireUrl	对比整个URL，包含所有参数
Setting/UrlHasNoParameters	该URL没有可供选择的参数
Setting/UrlAndFollowingParameters	仅对比URL及以下参数
Setting/CloudCollectionNotification	云采集通知
Setting/CloudCollectionEmail	云采集邮件通知使用情况：
Setting/SmartAntiSealing	智能防封
Setting/NumberRemainingIps	剩余IP数量：
Setting/SwitchingCycle	切换周期：
Setting/CustomProxyIp	自定义代理ip
SmartHint/Data30Fields5	共30条数据，5个字段
BrokerHelper/SwitchingUserAgent	正在切换UserAgent，上次切换
CloudLiveText/MissionOverview	任务概览
CloudLiveText/Status	状态
CloudLiveText/NoSubtaskInfo	无子任务信息
AddFixedField/Title	标题
AddFixedField/Text	正文
AddFixedField/Name	名称
AddFixedField/Price	价格
AddFixedField/Url	网址
AddFixedField/ImgUrl	图片地址
AddFixedField/Score	评分
AddFixedField/NumberRatings	评分人数
CopyTask/SelectTaskGroup	选择任务组
OptionTime/Second20	20秒
OptionTime/Second600	600秒
OptionTime/Second300	300秒
OptionTime/Second180	180秒
OptionTime/Second120	120秒
OptionTime/Second60	60秒
FormatData/InputValue	输入值：
FormatData/OutputValue	输出值：
JsonTree/Expand	展开
JsonTree/Shrink	缩起
JsonTree/RawData	原始数据
JsonTree/Format	格式化
Trigger/TriggerName	触发器名称
Trigger/TriggeringConditions	触发条件
Trigger/FollowingConditions	如果满足以下任意条件
Trigger/AndCondition	添加且条件
Trigger/AddOrCondition	添加或条件
Trigger/TakeAction	就执行操作
NodeInfo/SeeMoreSettings	更多字段请在设置中查看
EditTime/OriginalDatetime	原始日期时间
EditTime/DateAndTime	增减日期时间
EditTime/Hour	时
EditTime/Minute	分
EditTime/Output	输出
EditTime/CurrentTimeExample	以当前时间作为示例（实际【原始日期时间】设置为准）
AddPrefixSuffix/AddPrefix	添加前缀
AddPrefixSuffix/Test	测试
AddPrefixSuffix/OriginalText	原始文本
AddPrefixSuffix/ReplacementResult	替换结果
FormatDateTime/Format	格式
FormatDateTime/Test	测试
FormatDateTime/OriginalText	原始文本
FormatDateTime/ReplacementResult	替换结果
Replace/RegularExpression	正则表达式
Replace/TryRegularTools	不懂正则？试试正则工具
Replace/Test	测试
Replace/OriginalText	原始文本
Replace/ReplacementResult	替换结果
Replace/ReplacedWith	替换为
Replace/Will	将
Replace/SourceText	源文本
Replace/Match	匹配
Replace/Application	应用
UrlEdit/NameParameter	参数名称
UrlEdit/ParameterType	参数类型
UrlEdit/ParameterConfig	参数配置
UrlEdit/InitialValue	开始值
UrlEdit/ZeroPadding	不补零格式：1、2、3...1000
UrlEdit/ZeroPaddingFormat	补零格式：0001、0002、0003...1000
UrlEdit/EveryAction	每次动作
UrlEdit/EndCondition	结束条件
UrlEdit/NumberTerms	项数
UrlEdit/EndValue	结束值
UrlEdit/From	从
UrlEdit/Come	到
UrlEdit/Format	格式
UrlEdit/CustomFormat	自定义格式
UrlEdit/InDaysOneTerm	以“天”为单位，一天生成一项
UrlEdit/Website	网址
UrlEdit/RecommendedManuallyEnter	建议手动输入不超过1万条网址
UrlEdit/SelectFile	选择文件
UrlEdit/SelectUrlFile	请选择包含网址列表的文件
UrlEdit/Select	选择
UrlEdit/SitePreview	网址预览
UrlEdit/UrlFormat	网址格式
UrlEdit/EnterUrlFormat	请在下方输入采集网址格式，可添加参数进行自动生成
UrlEdit/ParameterExample	https://www.bazhuayu.com/[参数1]/[参数2]/?q1=[参数3]&q2=[参数4]
UrlEdit/ParameterList	参数列表
UrlEdit/ParameterFree	无参数
UrlEdit/TestFeneratedUrl	测试生成网址
UrlEdit/SourceTaskGroup	源任务组
UrlEdit/SelectTask	选择任务
UrlEdit/SelectField	选择字段
UrlEdit/SaveSettings	保存设置
CorrelativeTaskWindow/TaskStartsCollection	当源任务启动采集后，跟随启动
CorrelativeTaskWindow/TaskCompletesCollection	当源任务完成采集后，跟随启动
CorrelativeTaskWindow/CompletedOrCollectionStopped	当源任务完成或者停止采集后，跟随启动
CorrelativeTaskWindow/ManualStart	手动启动
FlowChart/ModifyName	修改名称
FlowChart/OpenSteps	打开步骤
FlowChart/BackTop	返回上一级
FlowChart/Copy	复制
FlowChart/Paste	粘贴
FlowChart/Cut	剪切
ImportTask/SelectTask	选择任务
ImportTask/SelectTaskGroup	选择任务组
ImportTask/SelectiveAttribution	选择归属人
ImportTask/ActiveUser	当前用户
CompleteInfo/Repeat	条重复
CompleteInfo/SeeErrorTutorial	查看错误排查教程
RunnerSetting/CollectingLocallyNotLoadedImg	本地采集时，不加载页面图片
PreviewSampleData/SampleData	示例数据
SearchResult/ForFind	找到了
SearchResult/RelatedCollectionTemplates	个采集模板，您还可以尝试
SearchResult/CustomCollection	自定义采集
SearchResult/UpdateTime	更新时间：
SearchResult/ImmediateUse	立即使用
TemplateExample/Unlimited	无限制
TemplateExample/Dollar	元
TemplateExample/YourCurrentBalance	您当前余额为
TemplateExample/UnableToStartCloud	,无法启动云采集。
TemplateExample/PrepaidImmediately	立即充值
TemplateExample/CurrentBalanceCloud	当前余额云采集最多可采集
TemplateExample/CannotStartLocalCollection	条数据，无法启动本地采集。
TemplateExample/LeftBracket	（
TemplateExample/RightBracket	）
TemplateExample/UnableStartCloudlocalUnlimited	,无法启动云采集，本地采集无限制。
TemplateExample/DatalocalUnlimited	条数据，本地采集无限制。
TemplateExample/TodayMining	今日已采
TaskFilter/ActiveUser	当前用户
TaskFilter/DependOn	在
TaskFilter/And	和
TaskFilter/Among	之间
TaskListDialog/SavedDisplayedLeft	保存后将显示在左侧快速筛选的菜单栏中
UpdateCheckBox/DiscoverNewVersion	发现新版本
UpdateCheckBox/DownloadingFile	正在下载文件
UpdateCheckBox/DownloadCompleteStop	下载完成,点击确定按钮将自动退出并安装新版本'
AutoExportDriver/BecauseTask	ExportToDatabaseAutoPlugin Export:由于该任务导出时正在清理数据, 所以未能获取数据, 已自动停止。
CloudLiveMainStore/StartPerform	开始执行
CloudLiveMainStore/ManualStart	手动启动
CloudLiveMainStore/ManualStop	手动停止
CloudLiveMainStore/WaitingExecution	等待执行
CloudLiveMainStore/Subtasks	个子任务
CloudLiveMainStore/Created	已创建
CloudLiveMainStore/ErrorMessag	错误信息：
CloudLiveMainStore/FilterNameCannotEmpty	筛选条件名称不能为空
TaskListStore/CurrentAccountIs	当前账号为
TaskListStore/FreProfessionalCanNotCloud	，免费版或专业版用户无法使用云采集。
TaskListStore/SuccessfulExport	成功导出
TaskListStore/TaskIgnore	个任务， 忽略
TaskListStore/TemplateTasks	个模板任务。
